codigo_reporte;nome_especie;especie_especie;tamanho_sugerido
3767;Pombo-doméstico;(Columba livia);P
3767;Quero-quero/tetéu;(Vanellus chilensis);M
3769;Não identificado;Não identificado;P
3771;Urubus;Família Cathartidae;MG
3777;Gaviões / Família accipitridae;Família accipitridae;M
3779;Não identificado;Não identificado;P
3781;Quero-quero/tetéu;(Vanellus chilensis);M
3783;Urubus;Família Cathartidae;MG
3787;Urubu-de-cabeça-preta/corvo/apitã;(Coragyps atratus);MG
3789;Não identificado;Não identificado;P
3791;Urubus;Família Cathartidae;MG
3793;xx Outros (mamíferos > 1,5 kg);xx Outros (mamíferos > 1,5 kg);MG
3803;Quero-quero/tetéu;(Vanellus chilensis);M
3807;Pombo-doméstico;(Columba livia);P
